ParentLocation,Location,Value,Latitude,Longitude,LifeExpect,GDP,MedianAge
Europe,Greece,1.0,0.7955153443646996,0.2751702360340645,0.8664598526766991,0.01205434916311068,0.9023668639053254
Europe,Hungary,1.0,0.7839359725421667,0.28903766760179306,0.6873569717171968,0.010225045264934509,0.8520710059171599
Western Pacific,Japan,1.0,0.7332062352438526,0.887349676252231,1.0,0.28088419022142674,1.0
Europe,Kazakhstan,1.0,0.8414518176155852,0.6828651262222906,0.5546573243154741,0.011057628532434733,0.49704142011834324
Europe,Luxembourg,1.0,0.8556321417899027,0.511716794078211,0.946842203743667,0.004794833820530594,0.7307692307692308
South-East Asia,Maldives,1.0,0.4246677508180805,0.70105655982797,0.8581602985017668,0.0002999567268873016,0.4349112426035503
Eastern Mediterranean,Morocco,1.0,0.6558232351872397,0.46515089097316026,0.6740786019370829,0.008013652031420395,0.42307692307692313
Europe,Portugal,1.0,0.7621994455947093,0.47146080212589453,0.8943491664051472,0.014248963910611274,0.8816568047337279
Eastern Mediterranean,Qatar,1.0,0.7569900167747976,0.6284799740771381,0.8379225898596997,0.010079257617231767,0.5591715976331362
Western Pacific,Tonga,1.0,0.20269662526628396,0.0,0.5783410824167166,2.295295525235059e-05,0.27514792899408286
Europe,Uzbekistan,1.0,0.7778033021539787,0.6748922609022955,0.5744564448445548,0.003902284084369919,0.45266272189349116
